Part	Value	Device
		
C1	100n	C-US050-024X044
C2	10u	CPOL-EUE5-6
C3	100n	C-US050-024X044
CLKIN	CON-LUMBERG_1502_03	CON-LUMBERG_1502_03
CLKTHRU	CON-LUMBERG_1502_03	CON-LUMBERG_1502_03
CMBOUT	CON-LUMBERG_1502_03	CON-LUMBERG_1502_03
D1		DIODE1N4001
D2		DIODE1N4001
D3		DIODE1N4001
D101	DNC	DIODE1N4148
D102	DNC	DIODE1N4148
D201	DNC	DIODE1N4148
D202	DNC	DIODE1N4148
DELCV	POT-ALPS-RK09L1140	POT-ALPS-RK09L1140
DELIN	CON-LUMBERG_1502_03	CON-LUMBERG_1502_03
DELMAN	POT-ALPS-RK09L1140	POT-ALPS-RK09L1140
DELOUT	CON-LUMBERG_1502_03	CON-LUMBERG_1502_03
DIVCV	POT-ALPS-RK09L1140	POT-ALPS-RK09L1140
DIVIN	CON-LUMBERG_1502_03	CON-LUMBERG_1502_03
DIVMAN	POT-ALPS-RK09L1140	POT-ALPS-RK09L1140
DIVOUT	CON-LUMBERG_1502_03	CON-LUMBERG_1502_03
F1	PTCPTH	PTCPTH
F2	PTCPTH	PTCPTH
F3	PTCPTH	PTCPTH
GND	TPPAD1-20	TPPAD1-20
IC1	TL072P	TL072P
IC2	MEGA168	MEGA8-P
JP1		M06SIP
LED1		LED3MM
LED2		LED3MM
LED3		LED3MM
Q301	2N3904	2N3904
Q401	2N3904	2N3904
Q501	2N3904	2N3904
Q601	2N3904	2N3904
Q701	2N3904	2N3904
R1	10K	R-EU_0204/7
R2	1K	R-EU_0204/7
R3	1K	R-EU_0204/7
R4	1K	R-EU_0204/7
R101	120K	R-EU_0204/7
R102	51K	R-EU_0204/7
R103	51K	R-EU_0204/7
R104	51K	R-EU_0204/7
R105	120K	R-EU_0204/7
R201	120K	R-EU_0204/7
R202	51K	R-EU_0204/7
R203	51K	R-EU_0204/7
R204	51K	R-EU_0204/7
R205	120K	R-EU_0204/7
R301	100K	R-EU_0204/7
R302	1M	R-EU_0204/7
R303	10K	R-EU_0204/7
R401	100K	R-EU_0204/7
R402	1M	R-EU_0204/7
R403	10K	R-EU_0204/7
R501	1K	R-EU_0204/7
R502	1K	R-EU_0204/7
R503	100	R-EU_0204/7
R504	1K	R-EU_0204/7
R601	1K	R-EU_0204/7
R602	1K	R-EU_0204/7
R603	100	R-EU_0204/7
R604	1K	R-EU_0204/7
R701	1K	R-EU_0204/7
R702	1K	R-EU_0204/7
R703	100	R-EU_0204/7
R704	1K	R-EU_0204/7
RSTIN	CON-LUMBERG_1502_03	CON-LUMBERG_1502_03
S1		SWITCH-SPST
U$2	M08X2	M08X2
Y1	16Mhz	RESONATORPTH
